#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
fill v. 	 cubussa sita; (up) v.   tinfa fita (for solids)     
	       
fill a hole v. 	 suxa suxxa; duucha chita; guuta guutta; quubsa sita    
	       
filled, be v. 	 conaha noofta; quufa fita      
	       
film n. 	 qooflraa ni       
	       
filter v. 	 dhimbiiba bda; n. dhimbiiboo ni      
	       
filth n. 	 xurii ni       
	       
filthy (adj.) 	 xurawa, xurooftu, xurawo        
	       
filthy, be v. 	 kodhofaha foofta       
	       
final (thing) n. 	 qitisuu ni       
	       
final decision n. 	 mummee ni       
	       
final one n. 	 qutisuu ni       
	       
financial loss n. 	 kasaraa ni (Swa.)       
	       
find v. 	 arga gita; mullisa lifta      
	       
fine n. 	 gatiii ni; qitaatii ni (Amh.); qakhee ni     
	       
finger n. 	 quba i       
	       
fingernail n. 	 qeencha i       
	       
finish (a case) v. 	 itti mura rta       
	       
finish v. 	 buufadha fatta; fita fitta; keessaa ba'a baata; mummaha moofta;    
	       
mummeessa	sita; qola qolta; qunquma mta; n. qutisuu ni     
finished v. 	 laayyuu, to form the past perfect;        
	       
completely v. 	 mutuqa tuxxa;       
	       
(adj.) 	 muluuqi; dhuma dhumta; dhumadha mattta ; hobaha baata     
fire n. 	ibidda i       
firefly n. 	 bilituu ni       
firesticks n. 	 uchuma ti       
firewood n. 	 qoraani        
firing pin n. 	 qulaa ni       
firm, be v. 	 bora borta       
first(ly) (adv.) 	 qara; tokkeesso        
first thing n. 	 matooma i       
first	born n.  (son) angafa I      
fish n. 	 qurxummii ni       
fist n. 	 tantoomoo ni; tantoomuu ni      
five n. (adj.) 	 shani        
	       
	       
	       
	       
	       
F 	       
	       
	       
	       
flame n. 	 ibidda i; bobaha i      
	       
flap n. 	 gurra i       
	       
flash v. 	 hanga'a gaata; ibsa sita      
	       
flashlight n. 	 batterii ni (Eng.)       
	       
flat, be v. 	 haffalaha loofta       
	       
flatten v. 	 looba bda; luceesa sita      
	       
flatulate v. 	 koka kotta; dhuufa ta      
	       
flay v. 	 dhubissa bifta       
	       
flea n. 	 taffii ni       
	       
flee v. 	 fiiga fiidda; soka kita; xillisa sita     
	       
flesh n. 	 fooni; radduu ni       
	       
flicker v. 	 liphisa phifta       
	       
flight n. 	 baqa i; barrisaa ni; reebuu ni     
	       
flood v. 	 farqadha qatta; lollaha laata; n. lollaa ni     
	       
flour n. 	 (wheat) duqe; burkii ni; (maize) boshee ni;      
	       
(in general) 	 daakuu ni       
	       
flourish v. 	 sararfadha fatta       
	       
flow v. 	 madda maddita; yaa'a yaata      
	       
flower(s) n. 	 daraaraa ni; obooraa ni      
	       
flutter v. 	 holladha latta       
	       
fly n. 	 bokee ni; sorondiisa i; tiite ni; hiddaa ni    
	       
fly out v. 	 finiina nta       
	       
fly v. 	 barrisa rifta; xuyyuura rta      
	       
fly whisk n. 	 dhowwaa ni       
	       
foal n. 	 (of donkey) bukura i       
	       
foam n. 	 hoomacha i       
	       
fodder n. 	 oka'a i       
	       
foetus n. 	 rimaha i; rimaya i      
	       
fog n. 	 hurii ni       
	       
foggy, be v. 	 huraha roofta       
	       
foggy, become v. 	 hurantaha toofta       
	       
follow closely v.	 himaana nta       
	       
follow v. 	 boona nta; hordooffa fta; reeba bda     
	       
following (prep.) 	 gula        
	       
food n. 	 sagalee ni, anqarsa ni (first food given to a newborn baby);      
	       
; for journey 	 wareega i; n.   soora ti     
	       
fool n. 	 daallee ni; monyii ni (Amh.); gadareesa i; roodaa ni    
	       
foolish (adj.) 	 gowwa        
	       
foot n. 	 miila i       
	       
foot and mouth disease n. 	 gaandilee ni; oyallee ni      
	       
foot of mountain n. 	 wadaa ni       
	       
footprint n. 	 faana ti       
	       
for 	  fi (suffix)       
	       
for instance 	  faa (suffix)       
	       
	       
	       
	       
	       
F 	       
	       
	       
	       
for reason that (conj.) 	 qooda+fi        
	       
for you 	 sii (dative)        
	       
forbid v. 	 dhoqqa dhowwita; dhowwarta dhorta      
	       
force v. 	 gibirsa siifta; sulcha chita; ukuma mita (Amh.); xixa xixxa;    
	       
n. 	 irree ni       
ford n. 	 malkaa ni       
forearm n. 	 dhundhumoo ni; irree ni      
forecast v. 	 faga fadda       
forefather n. 	 abbaaboo ni       
forehead n. 	 adda iti       
foreigner n. 	 ferenji ni (Amh.);       
foreleg n. 	 harka i; irree ni      
foresee v. 	 faga fadda; raaga raadda      
foreskin n. 	 qolofa i       
	       
forest n. 	 (dense) bassa i; cakka i (Amh.); danqaraa, raasaa.      
forestall v. 	 firisa rifta       
foretell v. 	 raaga raadda       
forget v. 	 coora coorta; irranfadha fatta      
forgetful, be v.	 wagaggaha goofta       
forgive v. 	 araraama mta       
forgiveness n. 	 bojuu ni       
	       
fork n. 	 kaaraa; dhanquu ni; for eating   shuka i     
	       
fork v. 	 bargafadha fatta       
	       
forked n. 	 kabeeloo  ni       
	       
form (good) n. 	 foormii ni (Ital.)       
	       
formerly (adv.) 	 qara        
	       
fortify v. 	 dhikissa sita       
	       
fortunate (adj.) 	 badhaadha, badhaatu, badhaadha; milkawa koofta       
	       
fortune n. 	 dhaacii ni; gaara i; milkii ni; kaayoo ni; ayaana i   
	       
forward v. 	 erga gita       
	       
foster (parent) n. 	 gayya ni       
	       
foul	smelling n.   burantaa ni      
	       
foundation n. 	 hunda i; yayyaba i      
	       
four n. (adj.) 	 abraanu, afuri        
	       
foursome n. 	abraanuu        
	       
fourth n. (adj.) 	 abreesso, afreesso        
	       
fox n. 	 gedala ti; bat eared maddaa ni     
	       
fractured v. 	 busuqa suxxa       
fragile (adj.) 	 happhi; qafiifa        
fragrance n. 	 ulaa ni       
fragrant, be v. 	 urga'a goofta       
frail (adj.) 	 happhi; qafiifa        
frail, be v. 	 wintaha toofta       
frame (wicker) n. 	 manoo ni       
	       
	       
	       
	       
	       
	       
	       
F 	       
	       
	       
	       
F 	       
	       
	       
	       
francolin n. 	 caaqarrii ni; gororii ni; cuuquruu ni     
	       
frantic, be v. 	 wareera rta       
	       
fraud n. 	 sosobachaa ni       
	       
free v. 	 hiika hitta       
	       
freed, be v. 	 baafama mta       
	       
freedom n. 	 (Orom.) bilisumaa ni; balchumaa; ba'iisa i; dhiifama i; dhiisama i    
	       
frequency n. 	 guddina i       
	       
fresh (adj.) 	 qabana, qabantu, qabana; qabanawwwa, qabanooftu, qabana'o        
	       
fresh (thing) n. 	kachuu  ni       
	       
fresh, be v. 	 bosoona nta; faltaha toofta      
	       
freshness n. 	 qabana nti       
	       
Friday n. 	 arbii ni       
	       
friend n. 	 fira i; garayyuu ni; tolaa ni; toltuu ni    
	       
fright n. 	 gugachaa ni; murgama i; sodaa ni; umna i    
	       
frighten v. 	 lubbeessa sita ; naasisa sifta; rifachiisa chiifta; sodaachisa chifta;    
	       
xixa	xixxa        
frightened, be v. 	 cicha cichita; murgama mta; rifadha fatta     
frisk v. 	 garmaama mta       
frog n. 	 raacha i       
	       
frolic v. 	 garmaama m nita; sambaaba bda     
from (prep.) 	 haga        
from above (prep.) 	 irraa        
from what place? 	 garami?        
from where? 	 me?        
front n. 	 fuula i       
front room n. 	 badaa ni       
froth n. 	 hoomacha i       
fruit n. 	 midhaani        
fry v. 	 kalankalla lta       
fulfill v. 	 guuta guutta       
fulfilled v. 	 laayyuu, to form the past perfect        
full (adj.) 	 mijuu; xili        
fumigate v. 	 qoraasa raafta       
function poorly v. (caus.) 	 moosa sita       
fungus n. 	 marqoo ni       
funnel n. 	 dhimbiiboo ni       
fur n. 	 rifeensa i       
furrow n. 	 boii ni       
	       
future (adv.) 	 egeri; eegee ni; in the takaa tana       
	       
fuzz n. 	 biilaa ni       
	       
	       
	       
	       
	       
	       
	       
G 	       
	       
	       
	       
gadaa	ni n. The Borana generational class system; (cf.) daballee,        
	       
gammee, kuusa, raaba didiqqaa, raaba gugurdaa; gadaa, 	       
	       
yuuba, gadaamoojjii 	       
gallon container n. 	 rubaa ni (Amh.)       
gang together v. 	 suurkaha koofta       
gap n. 	 baqaqa ni ; boroqa i;   fuloo ni; ( between teeth)   karruu  ni; qaa'a i: 
	       
seelee	ni        
garden n. 	 obru; masaa ni (Amh.)       
garlic n. 	 qulubii ni       
gate n. 	 sanqaa ni (Amh.); korbo       
gateway n. 	 balbala ti; karra  it      
gather together v. 	 tuuta'a toofta; tucha chita      
gather v. 	 dira dirta (always with wal); naanaha noofta;naaneessa sita;     
	       
walti ba'a	baata        
gathering n. 	 waldeenna i       
gazelle n. 	 hiddii ni       
gelding n. 	 kolaa ni; mirgoo ni      
generation n. 	 miseensa i       
generosity n. 	 holaa ni       
generous (person n. 	 lamsa i (Guji); (person)   arjaa ni ; balchaa ni; tolaa nii   
	       
toltuu	ni        
generous, be v. 	 tola tolta       
genes n. 	 fincaani        
genet n. 	 moree ni       
genitals n. 	 kofa i; (male )   misaa ni     
gently (adv.) 	 suuta; laanuma        
gerenuk n.	 guguuftoo ni       
germ n. 	 sanyii ni' (Amh.)       
germinate v. 	 biqila lta; qunxa xita      
gesticulate v. 	 wila wilita       
get lost v. 	 algala lta       
get out of trouble v. 	 dhibaafadha fatta       
get used to v. 	 mataqa taxxa; matafadha fatta      
ghost n. 	 ekeraa ni       
	       
gift n. 	 faroo (milkii); gumaata i; khaatoo ni; shelemaatii ni (Amh.); galata     
giraffe n. 	 satawwaa ni       
girl n. 	 dubra dubarti       
give v. 	 hirra hirta; kenna, kennita       
glade n. 	 batala ti; baqalla ti      
glance n. 	 liphee ni       
gland n. 	 xandacha i       
glans penis n. 	 maatee ni       
	       
glass (for drinking) n. 	 burchuqoo ni; bakeerii ni (Amh.)      
glisten v. 	 fiila fiilta       
	       
	       
	       
	       
	       
G 	       
	       
	       
	       
glitter 	 v. bibiliqa lixxa; billiqa lixxa; calalaqa laxxa; qanqaa ni    
	       
gloomy, be n. 	 bolgoda dda; kumuda dda; huraha roofta     
	       
gloomy, become v. 	 bolgoda dda       
	       
glory n. 	 guddina i       
	       
glossy n. 	 dooqa i; doti       
	       
glow n. 	 qaanqee ni       
	       
glow	worm n.   bilituu ni      
	       
glutton n. 	 afuuraa ni, sabdii ni ; bukicha i; ; boolicha i; boolittii ni;   
	       
bukittii	ni; garaadee ni; agarii       
gluttony n. 	 bukittii ni; agari; sabdii ni      
gnat n. 	 bokee ni       
gnaw v. 	 qorra rta; qorradha ratta      
gnawing n. 	 qorraa ni       
go v. 	 dhaqa dhaxxa; deema mta; yaa ta     
go! 	 beeni, pi. beena; deemi, deema        
go! (imperative) 	 meeni!; meenaa!; beeni! beena!;       
go around v. 	 qixisa xifta       
go away! 	 kuti!        
	       
go back and forth v. 	 soloola lta; sololaha laata      
go down v. 	 bua buuta; lixa lixxa      
go near v. 	 dhi'adha aatta       
	       
go off v. 	 algala lta; (food spoiling) qamansa sita      
go out v. 	 ba'a baata; yaasa yaafta      
go up v. 	 ol ba'a baata       
goat n. 	 (young male) korbeesa i; (pi.) korbeeyyii ni; qobolee ni; sangaa re'ee     
	       
elaba	i; lalleesa i; ree ni (both sheep and goats)      
goat enclosure n. 	 qaara i; dhoqooba       
goatskin n. 	 qoola i       
go	away bird n.   waayyuguutoo ni      
God n. 	 Waaqa; Rabbii ni       
going out n. 	 ba'iisa i       
gold n. 	 warqii ni (Amh.)       
gonorrhea n. 	 coftuu ni       
good (adj.) 	 qajeela, qajeeltu, qajeelo; mooti; fullaa;        
	       
midhaaga, midhaadu, midhaago; wayya 	       
good (person or thing) n. 	 dabboo ni       
good condition n.	 suga i; v.   wardaha deeta; martaha toofta    
good fortune n. 	kaayoo  ni       
good life n. 	 meela i       
good place n. 	 miriga i       
good things n. 	 faaya i       
good time n. 	 miriga i       
	       
goodness n. 	 dansuma ti; holaa ni; midhaaguma ti     
gorge n. 	 balee ni ; horraa ni; rakkoo ni     
	       
	       
	       
	       
	       
G 	       
	       
	       
	       
gossip n. 	 hamma ti       
	       
gourd n. 	 balka i; dullooo nicloud   dumaansa i;    
	       
(for weddings) 	 baaree ni; (small) qabee ni; buqee ni; balka i    
governor n. 	 mohaa ni       
grab v. 	 buta butta; qola qolta; saama mta; sakaba bda    
grace n. 	kaayoo  ni       
grade n. 	 kifilii ni       
	       
grain n. 	boqoloo ni (Amh.); kartuu ni; midhaani; sanyii ni (Amh.)     
granary n. 	 kodhoo ni; gootaraa ni (Amh.)      
grandfather, grandchild n. 	 akaakuu ni       
grandmother, grandchild n. 	 akkoo ni       
grasp v. 	 tindhisa dhifta       
grass n. 	 buyyoo ni; marra ni; alaansuu ni (the first grass which comes up after     
	       
the rains begin); micicaa	ni; (fresh and abundant)   misa i      
grasshopper n. 	 dhiitabulee ni; korophuu ni      
gratify v. 	 quubsa sita       
gratitude n. 	 galata i       
gravedigger n. 	 awwaaldiiduu ni       
gravel n. 	 cirracha i       
graze v. 	 boba'a baata; dheeda dheedda      
grazing n. 	 maaruu ni; tika i      
greasy, be v. 	 xunxuna nta       
greatness n. 	 guddina i       
greedy, be v. 	 sakaba bda       
green (adj.)	 doti        
green vegetable n. 	 raafuu ni       
green, be v. 	 hosooba bda       
greeting n. 	 yooyyoo ni       
grenade n.	 bombii ni       
	       
grey 	 (adj.) (dark) bulee; boora; magaadoo        
grieve v. 	 qarcha'a chaata       
grill v. 	 ruruuqa xxa; wadda waddita      
grin v. 	 qumaada dda       
grind v. 	 qara qarta; qara'a raata      
grinding mill n.	 woofchoo ni (Amh.)       
grinding stone n. 	 majjii ni (Amh.); dhakaa daakuu       
grip v. 	 birdifadha fatta; habooqa booxxa; qadhaba dba     
gripping n. 	 qaftuma i       
grit v. 	 ciniinadha natta       
groan v. 	 waadha waatta       
groin n. 	 mudanmuddii ni       
gross (as in grossly fat) n. 	 arfuuqa i       
	       
group n. 	 gumi; daga daddi;   citaha i; gollii ni; (often) n.   kurnya   
group together v. 	 suurkaha koofta; citaha toofta      
	       
	       
	       
	       
	       
G 	       
	       
	       
	       
grow v. 	 barduma mta; ba'a baata; qunxa xita     
	       
grow well v. 	 firawa firoofta       
	       
growl v. 	 waadha waatta; gururia rita      
	       
grown	up v.   cima cimta      
	       
growth (fresh) n. 	 fura i       
	       
growth n. 	 waciba i       
	       
grudge n. 	 kootoo ni; haaloo       
	       
gruel n. 	 uujii ni       
	       
grumble v. 	 gunguma mta; gururia rita; nyalla nyalta     
	       
grunt v. 	 bokamsa sita; waadha waatta      
	       
guard v. 	 eega eedda; qorqora rta; tissa  sita; salfa fita    
	       
guest n. 	 keessumaa ni       
	       
guide v. 	 ayiisa ayiifta       
	       
guilty, be v. 	 yakka kita       
	       
guineafowl n. 	 solooliaa ni       
	       
gully n. 	 bohaa ni; bowwaa ni; dolollo ni ; gootuu ni    
	       
gulp v. 	 dhudaha daata; habuuqa buuxxa      
	       
gummy v. 	 hodanaha noofta       
	       
gums (red, of mouth) n. 	 mulloo ni       
	       
gun powder n. 	 baruda i       
	       
gunshot n. 	 dibbeesa i; dibbiisaa ni      
	       
gush v. 	 madda maddita       
	       
guzzle v. 	 dhudaha daata       
	       
	       
	       
(hand)bag n. 	 marraa ni; saanxaa ni (Amh.)      
	       
habit n. 	 amala i       
	       
hack v. 	 kaakkisa  kifta       
	       
haemorrhoids 	 qormaddee ni       
	       
hair n. 	 refeensa I; body hair   bunjii ni; dabassaa; (curly) n.   martii ni;   
	       
(fringe) gammee	ni; (short and brisly) kinaa ni       
hairpin bend n. 	 sokharee ni       
hairstyle n. 	 mataa ni; (ceremonial) guduruu ni      
hairy, be v. 	 qiicha'a choofta       
half n. 	 wahakkaa ni; quntaa ni; qumtaa ni (Amh.)     
halter v. 	 faxoora rta (cover the face); n.   fuuloo ni; noonioo ni; noonoo ni;   
	       
faxooroo 	       
hammer n. 	 burisa i; madoshaa; v.   tuma tumta     
hand n. 	 harka i       
handcart n. 	 gaarii ni; konyee ni      
	       
handkerchief n. 	 maharaabii ni (Swa.); maraabii ni; bututuu ni     
handle 	 n. karaara  i; fannoo ni; (of axe)   suka keeti    
handsome (adj.) 	 midhaaga dhaadha; n.   qalaamaa ni     
hang v. 	 fanissa nifta; fanifadha fatta; raraha raata     
	       
	       
	       
	       
	       
H 	       
	       
	       
	       
happen v. 	 ta'a taata       
	       
happiness n. 	 nagaa nageeni; nagaya; qilixama i; qilixamsuu ni     
	       
happy, be v. 	 buraaqa raaxxa; gammada madda; qilixama mta     
	       
harass v. 	 gaalla lta       
	       
hard (thing) n. 	 siidaa ni       
	       
hard, be v. 	 qulmuuda dda; sibra brita      
	       
harden v. 	 sibrisiisa siifta       
	       
hare n. 	 hileensa i       
	       
harm n. 	 eebee ni       
	       
harmed, be v. 	 elaha loofta       
	       
harsh (voice v. 	 hichinnawa noofta       
	       
hartebeest n. 	 qorkee ni       
	       
harvest v. 	 mura murta; muradha ratta; n. mura i; muransa i    
	       
hasten v. 	 aariifadha fatta; arreeda dda      
	       
hat n. 	 koofiaa ni       
	       
hate v. 	 burungaha goofta; baga badda      
	       
have plenty v. 	 badhaadha dhaatta       
	       
have v. 	 qaba qabda       
